BlockSize,Outliers,Variable,KW,EffectSizeName,EffectSizeValue,NormalAcrossGroups,Levene_p,GroupsIncluded
100.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8889908082928837,False,3.141292643444575e-23,purecap-benchmark ABI | purecap ABI | outside compartment
200.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8885530948432371,False,1.6642715309213763e-25,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8883743886661316,False,3.7622233675305216e-25,purecap-benchmark ABI | purecap ABI | outside compartment
400.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8882691485936308,False,3.61455396303763e-32,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8882777021556495,False,1.4752941772709722e-32,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8882216096819731,False,3.622528845459817e-29,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8882120627270963,False,1.1081387067305361e-30,purecap-benchmark ABI | purecap ABI | outside compartment
800.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8882062948738951,False,1.5897584810361733e-32,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8882009248705053,False,1.8388886868679747e-29,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,With,Write Time (ms),< 0.001,epsilon_squared,0.8881905828233281,False,5.433998255136664e-29,purecap-benchmark ABI | purecap ABI | outside compartment
100.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8887024030261669,False,1.2498049880363523e-24,purecap-benchmark ABI | purecap ABI | outside compartment
200.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8883037616895789,False,1.391019728838572e-26,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8882466714076549,False,2.1428985845548044e-16,purecap-benchmark ABI | purecap ABI | outside compartment
400.0,With,Read Time (ms),< 0.001,epsilon_squared,0.888215245022757,False,6.031625580951959e-35,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8881983393363018,False,2.776742183458704e-49,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8881973449040478,False,5.941230642152333e-10,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8881810365303956,False,3.3044467112297643e-17,purecap-benchmark ABI | purecap ABI | outside compartment
800.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8881824286854302,False,1.3888419259954873e-35,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8881818320470278,False,3.6313168802434437e-26,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,With,Read Time (ms),< 0.001,epsilon_squared,0.8881957538170379,True,3.0495705444352336e-34,purecap-benchmark ABI | purecap ABI | outside compartment
100.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.2830834326095523,False,4.115915864033162e-06,purecap-benchmark ABI | purecap ABI | outside compartment
200.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.24537065722607815,False,0.00026483074953118345,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.35300425671785973,False,0.008582535589219715,purecap-benchmark ABI | purecap ABI | outside compartment
400.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.3589959276846203,False,0.023273310540089662,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.4123939571700401,False,0.04424613671371015,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.41424139028913376,False,0.09079629621059436,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.43153288704120923,False,0.10768546790116082,purecap-benchmark ABI | purecap ABI | outside compartment
800.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.5777951200530611,False,0.1667608425387403,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.5133025668239061,False,0.1969464088856045,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,With,Allocation Time (ms),< 0.001,epsilon_squared,0.6471624154040763,False,0.30067345937388623,purecap-benchmark ABI | purecap ABI | outside compartment
100.0,With,Free Time (ms),< 0.001,epsilon_squared,0.7377232182653444,False,0.00416921292009772,purecap-benchmark ABI | purecap ABI | outside compartment
200.0,With,Free Time (ms),< 0.001,epsilon_squared,0.7086973784912118,False,0.0004344597001801948,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,With,Free Time (ms),< 0.001,epsilon_squared,0.7072200635750133,False,0.0065199151624517095,purecap-benchmark ABI | purecap ABI | outside compartment
400.0,With,Free Time (ms),< 0.001,epsilon_squared,0.7020757524186697,False,0.000270483667166618,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,With,Free Time (ms),< 0.001,epsilon_squared,0.719130924983544,False,0.07241558255672503,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,With,Free Time (ms),< 0.001,epsilon_squared,0.6956569810818201,False,0.007789768176676116,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,With,Free Time (ms),< 0.001,epsilon_squared,0.7039702495097422,False,0.021319833608708254,purecap-benchmark ABI | purecap ABI | outside compartment
800.0,With,Free Time (ms),< 0.001,epsilon_squared,0.6867564086605117,False,0.00038447411788207757,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,With,Free Time (ms),< 0.001,epsilon_squared,0.6927602512662534,False,0.0014487690665145167,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,With,Free Time (ms),< 0.001,epsilon_squared,0.6986544556360508,False,0.12599490722019094,purecap-benchmark ABI | purecap ABI | outside compartment
