,Latência Média (ms),Latência Média (ms),Latência Média (ms),Desvio Padrão (ms),Desvio Padrão (ms),Desvio Padrão (ms),Variabilidade (%),Variabilidade (%),Variabilidade (%),Throughput (MB/s),Throughput (MB/s),Throughput (MB/s),Overhead Latência (%),Overhead Latência (%),Overhead Throughput (%),Overhead Throughput (%)
,benchmark,purecap,outexperiment,benchmark,purecap,outexperiment,benchmark,purecap,outexperiment,benchmark,purecap,outexperiment,benchmark,purecap,benchmark,purecap
Message Size (Bytes),,,,,,,,,,,,,,,,
1024,0.038489999999999996,0.07929,0.003770000000000001,0.11110996418599972,0.05218000991130065,0.0052375007533569055,288.6722893894511,65.80906786644047,138.92574942591256,26.604312808521694,12.914617227897592,271.6180371352784,920.9549071618034,2003.1830238726784,90.20524811639386,95.24530205574474
2048,0.08081999999999999,0.15041999999999997,0.017909999999999995,0.0033009946465521064,0.051589126565565926,0.0013860415257527852,4.084378429289911,34.296720227074815,7.7389253252528505,25.340262311309083,13.615210743252229,114.34952540480181,351.25628140703526,739.8659966499162,77.83964365256125,88.09333865177503
4096,0.16592000000000007,0.1707,0.04088,0.002765881597267134,0.15505056197149616,0.003172737402663925,1.6669971053924382,90.83219799150332,7.761099321584944,24.68659594985534,23.995313415348562,100.19569471624266,305.87084148728,317.56360078277885,75.36162005785921,76.05155243116579
6144,12.29536,9.15114,9.203080000000002,93.4735380098085,88.33590661455027,69.28869176393195,760.2342510492452,965.2994776011543,752.8859008498453,0.4997007001015017,0.671391761026495,0.6676025852214692,33.6004902706485,-0.5643762740300189,25.14997527522576,-0.5675795583938292
8192,9.796480000000003,5.428209999999999,9.500479999999998,45.769666939437855,30.979225389007542,41.95922464293113,467.20523024022754,570.7079385102556,441.653733736939,0.8362187234598547,1.5091531094043895,0.8622722220350973,3.115632052275304,-42.863834248374815,3.0214934343764788,-75.02049478557387
16384,15.81022,5.86837,11.936860000000001,42.177919742318906,24.56820888447121,27.055898545445025,266.77629876319816,418.6547352070713,226.65842227725736,1.0362917151057986,2.7919166651046208,1.3725552616014598,32.448734424295814,-50.838243893285174,24.499089829237043,-103.4101462586715
24576,19.111349999999998,7.539109999999999,19.331370000000003,62.11023426482804,33.853485241073415,44.98357201945388,324.9913494589762,449.03821858380394,232.69727918638915,1.2859374141544162,3.259801223221309,1.2713015166540185,-1.1381500638599602,-61.00064299633188,-1.1512530511973624,-156.41448393775931
32768,30.551269999999995,13.417570000000001,26.849610000000002,76.39597655753141,41.80973806635086,59.521888143603924,250.05826781515603,311.60439681962424,221.68622986927525,1.072557703820496,2.4421709743269453,1.2204274103050285,13.786643455901196,-50.02694638767565,12.116222991711938,-100.10784367064971
49152,29.10396,16.746400000000005,41.84262,45.42604079402702,57.12782651106891,90.7589726461992,156.08199294538275,341.13496937293326,216.90556816518472,1.6888423431038249,2.935078584053885,1.1746874359205997,-30.444221705046186,-59.977649583128375,-43.76950765462842,-149.86038790426588
65536,42.79217,20.547039999999996,64.00658,65.71252355480274,50.714929052961004,127.78187321054406,153.56202677920456,246.8235281235692,199.6386515426134,1.5314951310017697,3.189559177380295,1.023894730822987,-33.14410799639662,-67.89855043028389,-49.575448031731064,-211.51241249347854
