Input Size (bytes),Input Size,OutlierStatus,Variable,Levene_stat,Levene_p,GroupComparison,GroupStat,GroupP,EffectSizeValue,GroupsIncluded
1048576,1 MB,With_Outliers,SHA-256,10.43150870592814,4.1849711068498264e-05,Kruskal-Wallis,265.7917170767179,1.9233661523036244e-58,0.8881875995849087,outside compartment | purecap ABI | purecap-benchmark ABI
16777216,16 MB,With_Outliers,SHA-256,45.092213833376796,7.916391415591258e-18,Kruskal-Wallis,265.7814987187599,1.9332181205212317e-58,0.888153194339259,outside compartment | purecap ABI | purecap-benchmark ABI
67108864,64 MB,With_Outliers,SHA-256,65.99206698819475,1.93557525151431e-24,Kruskal-Wallis,265.7809671493836,1.9337320085852626e-58,0.8881514045433793,outside compartment | purecap ABI | purecap-benchmark ABI
104857600,100 MB,With_Outliers,SHA-256,56.378390601389405,1.7546863993862774e-21,Kruskal-Wallis,265.78102621254266,1.9336749032678984e-58,0.8881516034092345,outside compartment | purecap ABI | purecap-benchmark ABI
1048576,1 MB,With_Outliers,AES-256-GCM encrypt,10.920550956019165,2.6518500857507445e-05,Kruskal-Wallis,229.62151388710814,1.3750604669953217e-50,0.7664024036602968,outside compartment | purecap ABI | purecap-benchmark ABI
16777216,16 MB,With_Outliers,AES-256-GCM encrypt,36.61864800869567,6.095764098417882e-15,Kruskal-Wallis,232.30458615485006,3.5950096133962065e-51,0.7754363170196972,outside compartment | purecap ABI | purecap-benchmark ABI
67108864,64 MB,With_Outliers,AES-256-GCM encrypt,25.58516524628064,5.600881735106238e-11,Kruskal-Wallis,226.68774485049835,5.961858280158269e-50,0.7565243934360214,outside compartment | purecap ABI | purecap-benchmark ABI
104857600,100 MB,With_Outliers,AES-256-GCM encrypt,28.990727788604534,3.1534891564378385e-12,Kruskal-Wallis,231.9682003862711,4.253488839370763e-51,0.7743037050042798,outside compartment | purecap ABI | purecap-benchmark ABI
1048576,1 MB,With_Outliers,AES-256-GCM decrypt,14.815528475035917,7.358639072605831e-07,Kruskal-Wallis,236.16905175461775,5.206453732089791e-52,0.7884479857057837,outside compartment | purecap ABI | purecap-benchmark ABI
16777216,16 MB,With_Outliers,AES-256-GCM decrypt,8.153733863465021,0.000357007115555636,Kruskal-Wallis,238.93655731992635,1.3049257932229737e-52,0.7977661862623783,outside compartment | purecap ABI | purecap-benchmark ABI
67108864,64 MB,With_Outliers,AES-256-GCM decrypt,42.368258023514926,6.492656820003824e-17,Kruskal-Wallis,231.02519153883742,6.815803591274002e-51,0.7711285910398566,outside compartment | purecap ABI | purecap-benchmark ABI
104857600,100 MB,With_Outliers,AES-256-GCM decrypt,7.596275038665066,0.0006061585693783282,Kruskal-Wallis,209.410881112404,3.3651539806311543e-46,0.6983531350585994,outside compartment | purecap ABI | purecap-benchmark ABI
1024,1 KB,With_Outliers,Ed25519 sign,5.535368028630992,0.004362560477908497,Kruskal-Wallis,241.0911542328809,4.443457600536655e-53,0.8050207213228313,outside compartment | purecap ABI | purecap-benchmark ABI
4096,4 KB,With_Outliers,Ed25519 sign,3.4182734780944775,0.034063634097637754,Kruskal-Wallis,260.0660178604447,3.3680750198634595e-57,0.8689091510452682,outside compartment | purecap ABI | purecap-benchmark ABI
16384,16 KB,With_Outliers,Ed25519 sign,13.936140676486653,1.640601037671637e-06,Kruskal-Wallis,261.28084994544,1.834781366232258e-57,0.8729994947657913,outside compartment | purecap ABI | purecap-benchmark ABI
1024,1 KB,With_Outliers,Ed25519 verify,18.372245642351487,3.001497415419618e-08,Kruskal-Wallis,249.8560321965278,5.5520321639624264e-55,0.834532094937804,outside compartment | purecap ABI | purecap-benchmark ABI
4096,4 KB,With_Outliers,Ed25519 verify,21.548604462391335,1.825060021350633e-09,Kruskal-Wallis,258.5057481545289,7.348353124290877e-57,0.8636557176920164,outside compartment | purecap ABI | purecap-benchmark ABI
16384,16 KB,With_Outliers,Ed25519 verify,40.84651755947401,2.131405320426231e-16,Kruskal-Wallis,265.7897678495275,1.9252416048765138e-58,0.8881810365303956,outside compartment | purecap ABI | purecap-benchmark ABI
1048576,1 MB,Without_Outliers,SHA-256,13.158591372836018,3.4592941251358593e-06,Kruskal-Wallis,249.65793955415467,6.130095553021213e-55,0.8876628657855006,outside compartment | purecap ABI | purecap-benchmark ABI
16777216,16 MB,Without_Outliers,SHA-256,56.17843531717766,2.7729164550370396e-21,Kruskal-Wallis,254.2099706009483,6.295152590736287e-56,0.8880632767639025,outside compartment | purecap ABI | purecap-benchmark ABI
67108864,64 MB,Without_Outliers,SHA-256,66.73484793520812,1.4403592590541898e-24,Kruskal-Wallis,259.4889290689464,4.4946408560441777e-57,0.8878928588584358,outside compartment | purecap ABI | purecap-benchmark ABI
104857600,100 MB,Without_Outliers,SHA-256,54.61719377922302,7.075658507130558e-21,Kruskal-Wallis,261.28065347332995,1.8349616167689396e-57,0.8879474434018149,outside compartment | purecap ABI | purecap-benchmark ABI
1048576,1 MB,Without_Outliers,AES-256-GCM encrypt,33.67606062874723,9.295719389799905e-14,Kruskal-Wallis,217.5649458843522,5.706532216288306e-48,0.8134526259786875,outside compartment | purecap ABI | purecap-benchmark ABI
16777216,16 MB,Without_Outliers,AES-256-GCM encrypt,69.4307496797037,4.1943342952258185e-25,Kruskal-Wallis,240.5998916231807,5.680641219361727e-53,0.8739922770079879,outside compartment | purecap ABI | purecap-benchmark ABI
67108864,64 MB,Without_Outliers,AES-256-GCM encrypt,38.71828838736243,1.5297182164928063e-15,Kruskal-Wallis,206.87368320451856,1.1966040451119293e-45,0.7449952116527947,outside compartment | purecap ABI | purecap-benchmark ABI
104857600,100 MB,Without_Outliers,AES-256-GCM encrypt,28.642765058006233,4.3476487430607144e-12,Kruskal-Wallis,231.58951701003463,5.140144735247156e-51,0.7835819693175243,outside compartment | purecap ABI | purecap-benchmark ABI
1048576,1 MB,Without_Outliers,AES-256-GCM decrypt,149.62994304616925,6.307260292175599e-45,Kruskal-Wallis,232.3495942766635,3.515010823060024e-51,0.8226771224166554,outside compartment | purecap ABI | purecap-benchmark ABI
16777216,16 MB,Without_Outliers,AES-256-GCM decrypt,76.50070895175216,3.84175206775294e-27,Kruskal-Wallis,245.5068555554232,4.884990027146534e-54,0.8854794747469934,outside compartment | purecap ABI | purecap-benchmark ABI
67108864,64 MB,Without_Outliers,AES-256-GCM decrypt,42.540038207051936,6.117763646708993e-17,Kruskal-Wallis,228.41608770370502,2.5123304734367754e-50,0.7753975606291268,outside compartment | purecap ABI | purecap-benchmark ABI
104857600,100 MB,Without_Outliers,AES-256-GCM decrypt,47.538310875128126,1.7131176928922478e-18,Kruskal-Wallis,203.75649434658663,5.686426455813204e-45,0.7231415567978016,outside compartment | purecap ABI | purecap-benchmark ABI
1024,1 KB,Without_Outliers,Ed25519 sign,43.068892595515926,7.829108605717008e-17,Kruskal-Wallis,218.3696877264966,3.8161444264265337e-48,0.8518491642775456,outside compartment | purecap ABI | purecap-benchmark ABI
4096,4 KB,Without_Outliers,Ed25519 sign,72.72909632550817,5.630197566736609e-26,Kruskal-Wallis,238.96408558990342,1.2870876632898885e-52,0.8809073813751056,outside compartment | purecap ABI | purecap-benchmark ABI
16384,16 KB,Without_Outliers,Ed25519 sign,30.900005444689533,7.019818643365082e-13,Kruskal-Wallis,256.3510740370855,2.158099965812538e-56,0.8862406760874059,outside compartment | purecap ABI | purecap-benchmark ABI
1024,1 KB,Without_Outliers,Ed25519 verify,23.028206759604647,5.333900609421301e-10,Kruskal-Wallis,247.03322741032017,2.277279016621063e-54,0.8567595363997209,outside compartment | purecap ABI | purecap-benchmark ABI
4096,4 KB,Without_Outliers,Ed25519 verify,28.531545994355785,4.994437340129026e-12,Kruskal-Wallis,254.47899328510354,5.502863345902288e-56,0.8797177466379914,outside compartment | purecap ABI | purecap-benchmark ABI
16384,16 KB,Without_Outliers,Ed25519 verify,46.66008039071531,2.5604495131972265e-18,Kruskal-Wallis,262.2254983414647,1.1440803539163017e-57,0.8881416325647259,outside compartment | purecap ABI | purecap-benchmark ABI
