Input Size (bytes),Input Size,OutlierStatus,Variable,Comparison,ExperimentA,ExperimentB,CliffsDelta,MedianRatio_A_over_B
1048576,1 MB,With_Outliers,SHA-256,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,7.8696197753080455
1048576,1 MB,With_Outliers,SHA-256,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,7.9009875573810096
16777216,16 MB,With_Outliers,SHA-256,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,7.8857526433002265
16777216,16 MB,With_Outliers,SHA-256,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,7.91548819782439
67108864,64 MB,With_Outliers,SHA-256,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,7.886750744130227
67108864,64 MB,With_Outliers,SHA-256,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,7.916830894236532
104857600,100 MB,With_Outliers,SHA-256,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,7.886092714681361
104857600,100 MB,With_Outliers,SHA-256,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,7.916514383266965
1048576,1 MB,With_Outliers,AES-256-GCM encrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,23.715852389261332
1048576,1 MB,With_Outliers,AES-256-GCM encrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,23.736838782257323
16777216,16 MB,With_Outliers,AES-256-GCM encrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.000901112140944
16777216,16 MB,With_Outliers,AES-256-GCM encrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,23.97620526241032
67108864,64 MB,With_Outliers,AES-256-GCM encrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,23.98039360160106
67108864,64 MB,With_Outliers,AES-256-GCM encrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,23.958871797136446
104857600,100 MB,With_Outliers,AES-256-GCM encrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,23.989668118888044
104857600,100 MB,With_Outliers,AES-256-GCM encrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,23.965629757966475
1048576,1 MB,With_Outliers,AES-256-GCM decrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.889151719763632
1048576,1 MB,With_Outliers,AES-256-GCM decrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,24.856780702036097
16777216,16 MB,With_Outliers,AES-256-GCM decrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.974408410827273
16777216,16 MB,With_Outliers,AES-256-GCM decrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,24.952117509207614
67108864,64 MB,With_Outliers,AES-256-GCM decrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.982625550781112
67108864,64 MB,With_Outliers,AES-256-GCM decrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,24.96090452754007
104857600,100 MB,With_Outliers,AES-256-GCM decrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.98536941330304
104857600,100 MB,With_Outliers,AES-256-GCM decrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,24.96614986843551
1024,1 KB,With_Outliers,Ed25519 sign,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,1.2335013526731817
1024,1 KB,With_Outliers,Ed25519 sign,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,1.1490451977898994
4096,4 KB,With_Outliers,Ed25519 sign,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,1.2442867817612902
