Mode,OutlierStatus,Variable,N,Shapiro_stat,Shapiro_p,Spearman_r,Spearman_p,BestRegression,BestRegression_R2
outside compartment,With_Outliers,SHA-256,400,0.8112366181125006,2.721329890726514e-21,0.9682570320885123,9.242761906966189e-242,Linear,0.999999979480191
purecap ABI,With_Outliers,SHA-256,400,0.81126549540839,2.7307617587966847e-21,0.9682496339133336,9.6743194029064e-242,Linear,0.9999999551822898
purecap-benchmark ABI,With_Outliers,SHA-256,400,0.8112711162295998,2.732601548461268e-21,0.968249361591103,9.690581637707286e-242,Linear,0.9999999548449112
outside compartment,With_Outliers,AES-256-GCM encrypt,400,0.8117525056996561,2.8950183648213026e-21,0.9682512678515429,9.577314263012866e-242,Linear,0.9999979808987661
purecap ABI,With_Outliers,AES-256-GCM encrypt,400,0.8116455563331647,2.8580925772738113e-21,0.9682490438821242,9.709588601193173e-242,Linear,0.9999989953195525
purecap-benchmark ABI,With_Outliers,AES-256-GCM encrypt,400,0.8116055413442964,2.844402242340998e-21,0.9682491346560861,9.704154260964609e-242,Linear,0.999999076559931
outside compartment,With_Outliers,AES-256-GCM decrypt,400,0.811274730357403,2.733785189965555e-21,0.9682527202480068,9.491899737606458e-242,Linear,0.9999999477193765
purecap ABI,With_Outliers,AES-256-GCM decrypt,400,0.8120831885926469,3.0123412272701776e-21,0.9682489531081877,9.715025967329872e-242,Linear,0.9999940657154532
purecap-benchmark ABI,With_Outliers,AES-256-GCM decrypt,400,0.8118973807624981,2.9458263070347752e-21,0.9682490438821242,9.709588601193173e-242,Linear,0.9999948958361795
outside compartment,With_Outliers,Ed25519 sign,300,0.7183599783546764,3.5943733130940523e-22,0.942939490568271,2.313377719120201e-144,Linear,0.9995795466468574
purecap ABI,With_Outliers,Ed25519 sign,300,0.5658401499279445,1.1178765306962746e-26,0.7878648536245909,1.0722244423514393e-64,Linear,0.24219015508642283
purecap-benchmark ABI,With_Outliers,Ed25519 sign,300,0.14870907769802277,1.4191435085642334e-34,0.8532498619150817,2.986854005088098e-86,Linear,0.006766946812204577
outside compartment,With_Outliers,Ed25519 verify,300,0.7531797685595856,6.945721832667208e-21,0.9428515756236533,2.8905633755273735e-144,Linear,0.9958555445040941
purecap ABI,With_Outliers,Ed25519 verify,300,0.8011729803545604,7.241409551661937e-19,0.9428199364531664,3.1315451188765647e-144,Linear,0.9826390431825973
purecap-benchmark ABI,With_Outliers,Ed25519 verify,300,0.8088963552188775,1.650508104667705e-18,0.9428176317373967,3.14985908619361e-144,Linear,0.9790042051505303
outside compartment,Without_Outliers,SHA-256,382,0.8090666154125025,6.422616533788923e-21,0.9682130791145852,8.445490934040307e-231,Linear,0.9999999912376555
purecap ABI,Without_Outliers,SHA-256,388,0.8138570022513378,7.788076864307139e-21,0.9681529271713589,2.9384622758351846e-234,Linear,0.9999999551867327
purecap-benchmark ABI,Without_Outliers,SHA-256,387,0.8148497875569908,9.334959422338844e-21,0.9681091134796431,1.5248001822122842e-233,Linear,0.9999999540375952
outside compartment,Without_Outliers,AES-256-GCM encrypt,384,0.8158427106241093,1.2672371926576643e-20,0.9680300338271836,1.5505081514433576e-231,Linear,0.9999981191003963
purecap ABI,Without_Outliers,AES-256-GCM encrypt,368,0.8013529420716385,6.510100848742861e-21,0.9674453662114076,1.684734197614009e-220,Linear,0.9999992489501999
purecap-benchmark ABI,Without_Outliers,AES-256-GCM encrypt,366,0.8160014657274413,4.0206739598347575e-20,0.967284643809442,6.369228471048657e-219,Linear,0.9999990828728128
outside compartment,Without_Outliers,AES-256-GCM decrypt,389,0.8113823170763697,5.447674488903804e-21,0.9682410432576124,4.3351997655797795e-235,Linear,0.9999999608717863
purecap ABI,Without_Outliers,AES-256-GCM decrypt,386,0.8145259363311417,9.552938408808899e-21,0.9681429289717649,4.987383747165733e-233,Linear,0.9999985916522567
purecap-benchmark ABI,Without_Outliers,AES-256-GCM decrypt,363,0.8156356954470274,4.668531853177455e-20,0.9678684707465223,1.601016259129715e-218,Linear,0.999999458091829
outside compartment,Without_Outliers,Ed25519 sign,260,0.7203430957996819,1.3145852135719149e-20,0.9414473413509439,8.00603873321254e-124,Linear,0.9998849188255867
purecap ABI,Without_Outliers,Ed25519 sign,274,0.7998934516855111,4.6354303769468744e-18,0.9117608495666488,4.0640435640391267e-107,Linear,0.9672107364359175
purecap-benchmark ABI,Without_Outliers,Ed25519 sign,285,0.7439333700797703,1.0421847093542512e-20,0.942663018742883,6.727999063469514e-137,Linear,0.996315533651365
outside compartment,Without_Outliers,Ed25519 verify,295,0.7520441651501185,9.353169850121813e-21,0.9428251972298499,7.577862257343907e-142,Linear,0.9966113063468642
purecap ABI,Without_Outliers,Ed25519 verify,289,0.7914296895147408,6.127341979155466e-19,0.9427913322212078,6.06658549238269e-139,Linear,0.9879532155518589
purecap-benchmark ABI,Without_Outliers,Ed25519 verify,291,0.8027444429337608,1.6760972997920925e-18,0.9428057559359044,6.485796949508018e-140,Linear,0.9835773765662292
