Test,Message Size (Bytes),Write Time (ms),Read Time (ms),Total Time (ms)
1,1024,0.013,0.553,0.566
2,1024,0.001,0.001,0.003
3,1024,0.001,0.001,0.002
4,1024,0.001,0.001,0.002
5,1024,0.004,0.001,0.005
6,1024,0.001,0.001,0.002
7,1024,0.002,0.026,0.028
8,1024,0.002,0.077,0.080
9,1024,0.002,0.077,0.079
10,1024,0.002,0.072,0.074
11,1024,0.002,0.084,0.086
12,1024,0.002,0.073,0.075
13,1024,0.002,0.077,0.079
14,1024,0.002,0.073,0.075
15,1024,0.002,0.075,0.077
16,1024,0.002,0.074,0.076
17,1024,0.002,0.077,0.080
18,1024,0.002,0.071,0.073
19,1024,0.002,0.072,0.074
20,1024,0.002,0.074,0.076
21,1024,0.002,0.082,0.085
22,1024,0.002,0.072,0.074
23,1024,0.002,0.074,0.076
24,1024,0.002,0.073,0.075
25,1024,0.002,0.076,0.079
26,1024,0.002,0.072,0.074
27,1024,0.002,0.075,0.077
28,1024,0.002,0.072,0.074
29,1024,0.002,0.076,0.078
30,1024,0.002,0.074,0.076
31,1024,0.002,0.073,0.076
32,1024,0.002,0.074,0.076
33,1024,0.002,0.078,0.081
34,1024,0.002,0.076,0.078
35,1024,0.002,0.075,0.078
36,1024,0.002,0.074,0.076
37,1024,0.002,0.079,0.081
38,1024,0.002,0.074,0.076
39,1024,0.002,0.073,0.075
40,1024,0.002,0.073,0.076
41,1024,0.002,0.080,0.082
42,1024,0.002,0.074,0.076
43,1024,0.002,0.075,0.077
44,1024,0.002,0.075,0.077
45,1024,0.002,0.079,0.081
46,1024,0.002,0.073,0.075
47,1024,0.002,0.077,0.079
48,1024,0.002,0.074,0.076
49,1024,0.002,0.078,0.081
50,1024,0.002,0.075,0.077
51,1024,0.002,0.077,0.079
52,1024,0.002,0.074,0.076
53,1024,0.002,0.082,0.084
54,1024,0.002,0.076,0.079
55,1024,0.002,0.076,0.078
56,1024,0.002,0.076,0.078
57,1024,0.002,0.080,0.082
58,1024,0.002,0.075,0.077
59,1024,0.002,0.076,0.078
60,1024,0.002,0.076,0.078
61,1024,0.002,0.086,0.088
62,1024,0.002,0.078,0.080
63,1024,0.002,0.076,0.078
64,1024,0.002,0.078,0.080
65,1024,0.002,0.079,0.081
66,1024,0.002,0.078,0.080
67,1024,0.002,0.077,0.080
68,1024,0.002,0.079,0.081
69,1024,0.002,0.080,0.082
70,1024,0.002,0.078,0.080
71,1024,0.002,0.078,0.081
72,1024,0.002,0.076,0.078
73,1024,0.002,0.079,0.081
74,1024,0.002,0.076,0.078
75,1024,0.002,0.076,0.078
76,1024,0.002,0.077,0.080
77,1024,0.002,0.079,0.081
78,1024,0.002,0.076,0.078
79,1024,0.002,0.079,0.081
80,1024,0.002,0.077,0.079
81,1024,0.002,0.082,0.084
82,1024,0.002,0.076,0.078
83,1024,0.002,0.076,0.078
84,1024,0.002,0.076,0.078
85,1024,0.002,0.079,0.082
86,1024,0.002,0.076,0.078
87,1024,0.003,0.077,0.080
88,1024,0.002,0.076,0.079
89,1024,0.002,0.081,0.083
90,1024,0.002,0.076,0.079
91,1024,0.002,0.079,0.082
92,1024,0.002,0.078,0.080
93,1024,0.002,0.079,0.081
94,1024,0.002,0.076,0.079
95,1024,0.002,0.078,0.080
96,1024,0.002,0.082,0.084
97,1024,0.002,0.079,0.081
98,1024,0.002,0.076,0.078
99,1024,0.002,0.076,0.078
100,1024,0.002,0.077,0.079
1,2048,0.002,0.176,0.178
2,2048,0.002,0.163,0.165
3,2048,0.002,0.165,0.167
4,2048,0.002,0.163,0.165
5,2048,0.002,0.166,0.169
6,2048,0.002,0.165,0.168
7,2048,0.002,0.166,0.169
8,2048,0.002,0.166,0.168
9,2048,0.002,0.165,0.168
10,2048,0.002,0.167,0.169
11,2048,0.002,0.170,0.172
12,2048,0.002,0.166,0.168
13,2048,0.002,0.165,0.168
14,2048,0.002,0.163,0.165
15,2048,0.002,0.167,0.169
16,2048,0.002,0.165,0.168
17,2048,0.002,0.166,0.169
18,2048,0.002,0.163,0.165
19,2048,0.002,0.165,0.167
20,2048,0.003,0.163,0.166
21,2048,0.002,0.178,0.180
22,2048,0.002,0.166,0.169
23,2048,0.001,0.001,0.003
24,2048,0.001,0.001,0.002
25,2048,0.001,0.001,0.002
26,2048,0.004,0.001,0.006
27,2048,0.001,0.001,0.002
28,2048,0.004,0.001,0.005
29,2048,0.001,0.001,0.002
30,2048,0.002,0.001,0.003
31,2048,0.001,0.001,0.002
32,2048,0.002,0.019,0.022
33,2048,0.002,0.170,0.173
34,2048,0.002,0.162,0.164
35,2048,0.002,0.167,0.170
36,2048,0.002,0.163,0.165
37,2048,0.002,0.167,0.169
38,2048,0.002,0.162,0.164
39,2048,0.002,0.166,0.169
40,2048,0.002,0.162,0.165
41,2048,0.002,0.171,0.173
42,2048,0.003,0.166,0.169
43,2048,0.002,0.167,0.169
44,2048,0.002,0.164,0.167
45,2048,0.002,0.166,0.168
46,2048,0.002,0.164,0.166
47,2048,0.002,0.166,0.169
48,2048,0.002,0.165,0.167
49,2048,0.002,0.166,0.168
50,2048,0.002,0.164,0.166
51,2048,0.002,0.169,0.172
52,2048,0.002,0.166,0.168
53,2048,0.002,0.166,0.168
54,2048,0.002,0.165,0.167
55,2048,0.002,0.166,0.168
56,2048,0.002,0.165,0.167
57,2048,0.002,0.166,0.168
58,2048,0.002,0.165,0.167
59,2048,0.002,0.167,0.169
60,2048,0.002,0.157,0.159
61,2048,0.002,0.175,0.177
62,2048,0.002,0.166,0.168
63,2048,0.002,0.173,0.175
64,2048,0.002,0.165,0.167
65,2048,0.002,0.166,0.169
66,2048,0.002,0.166,0.169
67,2048,0.002,0.165,0.167
68,2048,0.002,0.167,0.169
69,2048,0.002,0.166,0.169
70,2048,0.002,0.166,0.169
71,2048,0.002,0.169,0.171
72,2048,0.002,0.167,0.169
73,2048,0.002,0.165,0.167
74,2048,0.002,0.167,0.170
75,2048,0.002,0.166,0.168
76,2048,0.002,0.164,0.167
77,2048,0.002,0.167,0.170
78,2048,0.002,0.164,0.167
79,2048,0.002,0.167,0.170
80,2048,0.002,0.164,0.166
81,2048,0.002,0.170,0.172
82,2048,0.002,0.164,0.166
83,2048,0.002,0.165,0.167
84,2048,0.002,0.166,0.168
85,2048,0.002,0.166,0.168
86,2048,0.002,0.164,0.166
87,2048,0.002,0.165,0.168
88,2048,0.002,0.164,0.167
89,2048,0.002,0.168,0.170
90,2048,0.002,0.164,0.166
91,2048,0.002,0.171,0.173
92,2048,0.002,0.164,0.166
93,2048,0.002,0.166,0.169
94,2048,0.002,0.164,0.166
95,2048,0.002,0.168,0.170
96,2048,0.002,0.164,0.166
97,2048,0.002,0.170,0.173
98,2048,0.002,0.166,0.168
99,2048,0.002,0.169,0.171
100,2048,0.001,0.001,0.003
1,4096,0.002,0.001,0.003
2,4096,0.002,0.001,0.003
3,4096,0.002,0.001,0.003
4,4096,0.002,0.001,0.003
5,4096,0.002,0.001,0.003
6,4096,0.003,0.120,0.122
7,4096,0.003,0.338,0.341
8,4096,0.003,0.338,0.341
9,4096,0.003,0.336,0.339
10,4096,0.003,0.353,0.356
11,4096,0.003,0.338,0.340
12,4096,0.003,0.337,0.339
13,4096,0.003,0.340,0.342
14,4096,0.003,0.339,0.342
15,4096,0.003,0.338,0.341
16,4096,0.003,0.338,0.340
17,4096,0.003,0.337,0.339
18,4096,0.003,0.279,0.282
19,4096,0.003,0.342,0.344
20,4096,0.002,0.001,0.003
21,4096,0.003,0.323,0.326
22,4096,0.003,0.289,0.292
23,4096,0.003,0.338,0.341
24,4096,0.003,0.344,0.347
25,4096,0.003,0.290,0.292
26,4096,0.003,0.339,0.341
27,4096,0.003,0.337,0.340
28,4096,0.003,0.264,0.267
29,4096,0.003,0.338,0.340
30,4096,0.003,0.353,0.355
31,4096,0.003,0.269,0.271
32,4096,0.003,0.336,0.339
33,4096,0.003,0.339,0.341
34,4096,0.003,0.240,0.242
35,4096,0.003,0.339,0.341
36,4096,0.003,0.337,0.340
37,4096,0.003,0.235,0.237
38,4096,0.003,0.339,0.342
39,4096,0.003,0.337,0.339
40,4096,0.003,0.227,0.230
41,4096,0.003,0.340,0.342
42,4096,0.003,0.337,0.340
43,4096,0.003,0.193,0.196
44,4096,0.003,0.341,0.343
45,4096,0.002,0.001,0.003
46,4096,0.002,0.001,0.003
47,4096,0.002,0.002,0.003
48,4096,0.045,0.001,0.046
49,4096,0.004,0.001,0.005
50,4096,0.006,0.001,0.007
51,4096,0.003,0.001,0.005
52,4096,0.043,0.001,0.044
53,4096,0.004,0.001,0.005
54,4096,0.004,0.001,0.005
55,4096,0.004,0.001,0.005
56,4096,0.003,0.057,0.060
57,4096,0.003,0.339,0.341
58,4096,0.003,0.338,0.340
59,4096,0.003,0.340,0.342
60,4096,0.003,0.344,0.347
61,4096,0.003,0.340,0.343
62,4096,0.003,0.339,0.341
63,4096,0.003,0.338,0.341
64,4096,0.003,0.335,0.338
65,4096,0.003,0.339,0.341
66,4096,0.003,0.061,0.064
67,4096,0.003,0.341,0.344
68,4096,0.002,0.001,0.003
69,4096,0.003,0.033,0.036
70,4096,0.002,0.001,0.003
71,4096,0.003,0.138,0.140
72,4096,0.002,0.001,0.003
73,4096,0.003,0.229,0.232
74,4096,0.002,0.001,0.003
75,4096,0.003,0.237,0.240
76,4096,0.002,0.001,0.003
