Test,Message Size (Bytes),Write Time (ms),Read Time (ms),Total Time (ms)
1,1024,0.011,0.041,0.052
2,1024,0.001,0.001,0.002
3,1024,0.001,0.005,0.006
4,1024,0.001,0.005,0.006
5,1024,0.005,0.001,0.006
6,1024,0.001,0.004,0.005
7,1024,0.001,0.003,0.004
8,1024,0.004,0.001,0.005
9,1024,0.001,0.001,0.002
10,1024,0.001,0.001,0.002
11,1024,0.001,0.001,0.002
12,1024,0.001,0.001,0.002
13,1024,0.004,0.001,0.005
14,1024,0.001,0.003,0.004
15,1024,0.001,0.001,0.002
16,1024,0.001,0.001,0.002
17,1024,0.001,0.004,0.005
18,1024,0.001,0.001,0.002
19,1024,0.001,0.001,0.002
20,1024,0.001,0.001,0.002
21,1024,0.001,0.001,0.002
22,1024,0.001,0.006,0.007
23,1024,0.005,0.003,0.008
24,1024,0.001,0.003,0.004
25,1024,0.001,0.001,0.002
26,1024,0.003,0.006,0.009
27,1024,0.005,0.001,0.006
28,1024,0.001,0.001,0.002
29,1024,0.001,0.001,0.002
30,1024,0.001,0.001,0.002
31,1024,0.001,0.001,0.002
32,1024,0.001,0.001,0.002
33,1024,0.001,0.001,0.002
34,1024,0.001,0.001,0.002
35,1024,0.001,0.001,0.002
36,1024,0.001,0.001,0.002
37,1024,0.001,0.001,0.002
38,1024,0.001,0.001,0.002
39,1024,0.001,0.001,0.002
40,1024,0.001,0.001,0.002
41,1024,0.001,0.001,0.002
42,1024,0.001,0.001,0.002
43,1024,0.001,0.001,0.002
44,1024,0.001,0.001,0.002
45,1024,0.001,0.001,0.002
46,1024,0.001,0.001,0.002
47,1024,0.001,0.001,0.002
48,1024,0.001,0.001,0.002
49,1024,0.001,0.001,0.002
50,1024,0.001,0.001,0.002
51,1024,0.001,0.001,0.002
52,1024,0.001,0.001,0.002
53,1024,0.001,0.001,0.002
54,1024,0.001,0.001,0.002
55,1024,0.001,0.001,0.002
56,1024,0.001,0.001,0.002
57,1024,0.001,0.001,0.002
58,1024,0.001,0.001,0.002
59,1024,0.001,0.001,0.002
60,1024,0.001,0.001,0.002
61,1024,0.001,0.011,0.012
62,1024,0.001,0.001,0.002
63,1024,0.001,0.002,0.003
64,1024,0.001,0.001,0.002
65,1024,0.001,0.002,0.003
66,1024,0.001,0.007,0.008
67,1024,0.001,0.001,0.002
68,1024,0.001,0.006,0.007
69,1024,0.005,0.002,0.007
70,1024,0.001,0.004,0.006
71,1024,0.004,0.001,0.005
72,1024,0.001,0.001,0.003
73,1024,0.007,0.001,0.008
74,1024,0.001,0.001,0.003
75,1024,0.001,0.001,0.003
76,1024,0.001,0.001,0.002
77,1024,0.001,0.001,0.003
78,1024,0.001,0.001,0.003
79,1024,0.002,0.002,0.003
80,1024,0.001,0.001,0.003
81,1024,0.004,0.001,0.005
82,1024,0.001,0.004,0.006
83,1024,0.001,0.001,0.003
84,1024,0.002,0.001,0.003
85,1024,0.002,0.001,0.003
86,1024,0.001,0.001,0.003
87,1024,0.001,0.001,0.003
88,1024,0.001,0.001,0.003
89,1024,0.001,0.001,0.003
90,1024,0.001,0.001,0.003
91,1024,0.001,0.001,0.003
92,1024,0.001,0.001,0.003
93,1024,0.001,0.004,0.005
94,1024,0.001,0.001,0.003
95,1024,0.001,0.001,0.003
96,1024,0.001,0.001,0.003
97,1024,0.001,0.001,0.003
98,1024,0.001,0.001,0.003
99,1024,0.001,0.001,0.003
100,1024,0.001,0.001,0.003
1,2048,0.003,0.027,0.030
2,2048,0.003,0.015,0.018
3,2048,0.003,0.015,0.018
4,2048,0.003,0.014,0.017
5,2048,0.003,0.015,0.018
6,2048,0.003,0.015,0.018
7,2048,0.003,0.015,0.018
8,2048,0.003,0.015,0.018
9,2048,0.003,0.015,0.018
10,2048,0.003,0.015,0.018
11,2048,0.003,0.015,0.018
12,2048,0.003,0.016,0.020
13,2048,0.003,0.013,0.017
14,2048,0.003,0.015,0.018
15,2048,0.003,0.014,0.017
16,2048,0.003,0.015,0.018
17,2048,0.003,0.014,0.017
18,2048,0.003,0.014,0.018
19,2048,0.003,0.016,0.019
20,2048,0.003,0.014,0.018
21,2048,0.003,0.015,0.019
22,2048,0.003,0.015,0.019
23,2048,0.003,0.014,0.018
24,2048,0.003,0.014,0.017
25,2048,0.003,0.014,0.017
26,2048,0.003,0.014,0.017
27,2048,0.003,0.016,0.019
28,2048,0.003,0.015,0.019
29,2048,0.003,0.014,0.018
30,2048,0.003,0.015,0.018
31,2048,0.003,0.014,0.017
32,2048,0.003,0.015,0.018
33,2048,0.003,0.015,0.018
34,2048,0.003,0.014,0.017
35,2048,0.003,0.015,0.018
36,2048,0.003,0.014,0.017
37,2048,0.003,0.015,0.018
38,2048,0.003,0.015,0.018
39,2048,0.003,0.014,0.017
40,2048,0.003,0.014,0.018
41,2048,0.003,0.014,0.017
42,2048,0.003,0.015,0.018
43,2048,0.003,0.014,0.017
44,2048,0.003,0.015,0.018
45,2048,0.003,0.014,0.018
46,2048,0.003,0.015,0.018
47,2048,0.003,0.015,0.018
48,2048,0.003,0.014,0.017
49,2048,0.003,0.014,0.017
50,2048,0.003,0.014,0.017
51,2048,0.003,0.014,0.017
52,2048,0.003,0.015,0.018
53,2048,0.003,0.015,0.018
54,2048,0.003,0.014,0.018
55,2048,0.003,0.014,0.017
56,2048,0.003,0.014,0.017
57,2048,0.003,0.015,0.018
58,2048,0.003,0.014,0.017
59,2048,0.003,0.014,0.018
60,2048,0.003,0.014,0.018
61,2048,0.003,0.015,0.018
62,2048,0.003,0.014,0.017
63,2048,0.003,0.014,0.018
64,2048,0.003,0.015,0.018
65,2048,0.003,0.015,0.018
66,2048,0.003,0.015,0.018
67,2048,0.003,0.015,0.018
68,2048,0.003,0.015,0.018
69,2048,0.003,0.015,0.018
70,2048,0.003,0.015,0.018
71,2048,0.003,0.015,0.018
72,2048,0.003,0.014,0.017
73,2048,0.003,0.014,0.017
74,2048,0.003,0.015,0.019
75,2048,0.003,0.015,0.018
76,2048,0.003,0.014,0.017
77,2048,0.003,0.016,0.019
78,2048,0.003,0.015,0.018
79,2048,0.003,0.016,0.020
80,2048,0.003,0.015,0.018
81,2048,0.003,0.015,0.018
82,2048,0.003,0.015,0.018
83,2048,0.003,0.015,0.018
84,2048,0.003,0.014,0.017
85,2048,0.003,0.014,0.017
86,2048,0.003,0.014,0.017
87,2048,0.003,0.014,0.018
88,2048,0.003,0.014,0.017
89,2048,0.003,0.015,0.018
90,2048,0.003,0.015,0.018
91,2048,0.003,0.014,0.017
92,2048,0.003,0.015,0.018
93,2048,0.003,0.015,0.018
94,2048,0.003,0.014,0.017
95,2048,0.003,0.014,0.017
96,2048,0.003,0.014,0.018
97,2048,0.003,0.014,0.017
98,2048,0.003,0.014,0.018
99,2048,0.003,0.015,0.018
100,2048,0.003,0.014,0.018
1,4096,0.004,0.062,0.066
2,4096,0.004,0.022,0.025
3,4096,0.004,0.035,0.039
4,4096,0.004,0.037,0.041
5,4096,0.004,0.037,0.040
6,4096,0.004,0.036,0.039
7,4096,0.004,0.036,0.040
