mode,workload,operation,size_bytes,repetition,start_time_ms,end_time_ms,success
purecap,sha256,hash,1048576,1,5362518621.867207,5362518626.838354,1
purecap,sha256,hash,1048576,2,5362518626.872815,5362518631.844962,1
purecap,sha256,hash,1048576,3,5362518631.848562,5362518636.821189,1
purecap,sha256,hash,1048576,4,5362518636.824109,5362518641.794436,1
purecap,sha256,hash,1048576,5,5362518641.797336,5362518646.768363,1
purecap,sha256,hash,1048576,6,5362518646.771243,5362518651.741570,1
purecap,sha256,hash,1048576,7,5362518651.744530,5362518656.714277,1
purecap,sha256,hash,1048576,8,5362518656.717197,5362518661.688064,1
purecap,sha256,hash,1048576,9,5362518661.690864,5362518666.668331,1
purecap,sha256,hash,1048576,10,5362518666.671451,5362518671.641038,1
purecap,sha256,hash,1048576,11,5362518671.644059,5362518676.614826,1
purecap,sha256,hash,1048576,12,5362518676.617786,5362518681.594793,1
purecap,sha256,hash,1048576,13,5362518681.597613,5362518686.567340,1
purecap,sha256,hash,1048576,14,5362518686.570340,5362518691.541347,1
purecap,sha256,hash,1048576,15,5362518691.544207,5362518696.514274,1
purecap,sha256,hash,1048576,16,5362518696.517174,5362518701.487681,1
purecap,sha256,hash,1048576,17,5362518701.490521,5362518706.460488,1
purecap,sha256,hash,1048576,18,5362518706.463388,5362518711.432955,1
purecap,sha256,hash,1048576,19,5362518711.435815,5362518716.407782,1
purecap,sha256,hash,1048576,20,5362518716.410582,5362518721.380569,1
purecap,sha256,hash,1048576,21,5362518721.383549,5362518726.352136,1
purecap,sha256,hash,1048576,22,5362518726.354976,5362518731.325783,1
purecap,sha256,hash,1048576,23,5362518731.328723,5362518736.298270,1
purecap,sha256,hash,1048576,24,5362518736.301190,5362518741.272317,1
purecap,sha256,hash,1048576,25,5362518741.275158,5362518746.245745,1
purecap,sha256,hash,1048576,26,5362518746.248545,5362518751.217292,1
purecap,sha256,hash,1048576,27,5362518751.220032,5362518756.189539,1
purecap,sha256,hash,1048576,28,5362518756.192239,5362518761.162266,1
purecap,sha256,hash,1048576,29,5362518761.165086,5362518766.134293,1
purecap,sha256,hash,1048576,30,5362518766.137053,5362518771.107380,1
purecap,sha256,hash,1048576,31,5362518771.110200,5362518776.079507,1
purecap,sha256,hash,1048576,32,5362518776.082227,5362518781.050494,1
purecap,sha256,hash,1048576,33,5362518781.053374,5362518786.024141,1
purecap,sha256,hash,1048576,34,5362518786.027041,5362518791.001348,1
purecap,sha256,hash,1048576,35,5362518791.004408,5362518795.978935,1
purecap,sha256,hash,1048576,36,5362518795.981915,5362518800.952342,1
purecap,sha256,hash,1048576,37,5362518800.955182,5362518805.923929,1
purecap,sha256,hash,1048576,38,5362518805.926729,5362518810.899816,1
purecap,sha256,hash,1048576,39,5362518810.902816,5362518815.873423,1
purecap,sha256,hash,1048576,40,5362518815.876404,5362518820.846091,1
purecap,sha256,hash,1048576,41,5362518820.848871,5362518825.819038,1
purecap,sha256,hash,1048576,42,5362518825.821918,5362518830.797825,1
purecap,sha256,hash,1048576,43,5362518830.800745,5362518835.771872,1
purecap,sha256,hash,1048576,44,5362518835.774772,5362518840.746259,1
purecap,sha256,hash,1048576,45,5362518840.749199,5362518845.718306,1
purecap,sha256,hash,1048576,46,5362518845.721006,5362518850.692393,1
purecap,sha256,hash,1048576,47,5362518850.695213,5362518855.665400,1
purecap,sha256,hash,1048576,48,5362518855.668480,5362518860.637787,1
purecap,sha256,hash,1048576,49,5362518860.640787,5362518865.610834,1
purecap,sha256,hash,1048576,50,5362518865.613574,5362518870.583701,1
purecap,sha256,hash,1048576,51,5362518870.586541,5362518875.556388,1
purecap,sha256,hash,1048576,52,5362518875.559268,5362518880.529315,1
purecap,sha256,hash,1048576,53,5362518880.532155,5362518885.501062,1
purecap,sha256,hash,1048576,54,5362518885.503862,5362518890.474489,1
purecap,sha256,hash,1048576,55,5362518890.477310,5362518895.447417,1
purecap,sha256,hash,1048576,56,5362518895.450257,5362518900.420084,1
purecap,sha256,hash,1048576,57,5362518900.422984,5362518905.394471,1
purecap,sha256,hash,1048576,58,5362518905.397331,5362518910.368178,1
purecap,sha256,hash,1048576,59,5362518910.371098,5362518915.340325,1
purecap,sha256,hash,1048576,60,5362518915.349865,5362518920.319992,1
purecap,sha256,hash,1048576,61,5362518920.322872,5362518925.295159,1
purecap,sha256,hash,1048576,62,5362518925.297999,5362518930.267186,1
purecap,sha256,hash,1048576,63,5362518930.269866,5362518935.239113,1
purecap,sha256,hash,1048576,64,5362518935.242073,5362518940.209200,1
purecap,sha256,hash,1048576,65,5362518940.212080,5362518945.180667,1
purecap,sha256,hash,1048576,66,5362518945.183547,5362518950.151934,1
purecap,sha256,hash,1048576,67,5362518950.154794,5362518955.121901,1
purecap,sha256,hash,1048576,68,5362518955.124721,5362518960.093688,1
purecap,sha256,hash,1048576,69,5362518960.096568,5362518965.064475,1
purecap,sha256,hash,1048576,70,5362518965.067335,5362518970.034042,1
purecap,sha256,hash,1048576,71,5362518970.036902,5362518975.013449,1
purecap,sha256,hash,1048576,72,5362518975.016529,5362518979.984396,1
purecap,sha256,hash,1048576,73,5362518979.987197,5362518984.957564,1
purecap,sha256,hash,1048576,74,5362518984.960464,5362518989.929911,1
purecap,sha256,hash,1048576,75,5362518989.932711,5362518994.902598,1
purecap,sha256,hash,1048576,76,5362518994.905838,5362518999.877785,1
purecap,sha256,hash,1048576,77,5362518999.880765,5362519004.850832,1
purecap,sha256,hash,1048576,78,5362519004.853752,5362519009.822399,1
purecap,sha256,hash,1048576,79,5362519009.825179,5362519014.796486,1
purecap,sha256,hash,1048576,80,5362519014.799286,5362519019.768533,1
purecap,sha256,hash,1048576,81,5362519019.771353,5362519024.741580,1
purecap,sha256,hash,1048576,82,5362519024.744480,5362519029.715027,1
purecap,sha256,hash,1048576,83,5362519029.717847,5362519034.686834,1
purecap,sha256,hash,1048576,84,5362519034.689534,5362519039.659281,1
purecap,sha256,hash,1048576,85,5362519039.662061,5362519044.633028,1
purecap,sha256,hash,1048576,86,5362519044.635868,5362519049.612775,1
purecap,sha256,hash,1048576,87,5362519049.615835,5362519054.587482,1
purecap,sha256,hash,1048576,88,5362519054.590423,5362519059.560650,1
purecap,sha256,hash,1048576,89,5362519059.563650,5362519064.534537,1
purecap,sha256,hash,1048576,90,5362519064.537537,5362519069.508524,1
purecap,sha256,hash,1048576,91,5362519069.511364,5362519074.480891,1
purecap,sha256,hash,1048576,92,5362519074.483751,5362519079.453398,1
purecap,sha256,hash,1048576,93,5362519079.456118,5362519084.425545,1
purecap,sha256,hash,1048576,94,5362519084.428405,5362519089.398772,1
purecap,sha256,hash,1048576,95,5362519089.401512,5362519094.374739,1
purecap,sha256,hash,1048576,96,5362519094.377679,5362519099.347846,1
purecap,sha256,hash,1048576,97,5362519099.350626,5362519104.319773,1
purecap,sha256,hash,1048576,98,5362519104.322573,5362519109.294560,1
purecap,sha256,hash,1048576,99,5362519109.297480,5362519114.266647,1
purecap,sha256,hash,1048576,100,5362519114.269487,5362519119.240194,1
purecap,sha256,hash,16777216,1,5362519236.003598,5362519315.608532,1
purecap,sha256,hash,16777216,2,5362519315.619512,5362519395.227486,1
