BlockSize,Outliers,Variable,Comparison,N_A,N_B,Median_A,Median_B,CliffsDelta,MedianRatio_A_over_B
100.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,283.225,282.5825,1.0,1.0022736722903933
200.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,566.445,565.1635,1.0,1.0022674854267837
300.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,849.67,847.7529999999999,1.0,1.0022612718563073
400.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,1132.936,1130.3294999999998,1.0,1.0023059647651416
500.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,1416.15,1412.9045,1.0,1.0022970413074628
600.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,1699.3955,1695.4915,1.0,1.0023025771583047
700.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,1982.5720000000001,1978.0735,1.0,1.0022741824305317
800.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,2265.8559999999998,2260.6585,1.0,1.002299108865846
900.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,2549.0654999999997,2543.25,1.0,1.0022866411088174
1000.0,With,Write Time (ms),purecap ABI vs outside compartment,100,100,2832.2664999999997,2825.8215,1.0,1.0022807526943933
100.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,40.367,282.5825,-1.0,0.14285031804871143
200.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,80.734,565.1635,-1.0,0.142850697187628
300.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,121.10249999999999,847.7529999999999,-1.0,0.1428511606564648
400.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,161.47050000000002,1130.3294999999998,-1.0,0.14285259298284264
500.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,201.837,1412.9045,-1.0,0.14285254240467066
600.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,242.207,1695.4915,-1.0,0.14285356193174661
700.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,282.576,1978.0735,-1.0,0.14285414571298793
800.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,322.94550000000004,2260.6585,-1.0,0.14285461514863923
900.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,363.312,2543.25,-1.0,0.14285343556473018
1000.0,With,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,403.6825,2825.8215,-1.0,0.14285491847238052
100.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,283.1305,282.578,1.0,1.0019552123661433
200.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,566.2625,565.164,1.0,1.0019436836033435
300.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,849.377,847.744,1.0,1.001926289068398
400.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,1132.5405,1130.323,1.0,1.0019618286100522
500.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,1415.6955,1412.901,1.0,1.0019778455815376
600.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,1698.7925,1695.492,1.0,1.001946632599859
700.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,1981.891,1978.0825,1.0,1.0019253494229892
800.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,2265.053,2260.6555,1.0,1.0019452322567504
900.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,2548.1665000000003,2543.2335000000003,1.0,1.0019396567401302
1000.0,With,Read Time (ms),purecap ABI vs outside compartment,100,100,2831.3175,2825.816,1.0,1.0019468712754123
100.0,With,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,80.734,282.578,-1.0,0.2857051858247988
200.0,With,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,161.468,565.164,-1.0,0.28570114161553106
300.0,With,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,242.2045,847.744,-1.0,0.2857047646459308
400.0,With,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,322.9415,1130.323,-1.0,0.28570727128440276
500.0,With,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,403.6815,1412.901,-1.0,0.2857111007777615
600.0,With,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,484.4165,1695.492,-1.0,0.28570851410681974
700.0,With,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,565.153,1978.0825,-1.0,0.2857074970331116
800.0,With,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,645.892,2260.6555,-1.0,0.28571005179692355
