Mode,Workload,Input Size,Input Size (bytes),Latency Mean (ms),Latency Std (ms),Latency (ms),Variability (%),Throughput / Rate,Rate Unit,N
outside compartment,SHA-256,1 MB,1048576,0.6313520874639954,0.0005920998108932505,0.6314 ± 0.0006,0.09378282303169173,1583.9022628669582,MB/s,99
outside compartment,SHA-256,16 MB,16777216,10.098265891379498,0.0011953181203717984,10.0983 ± 0.0012,0.011836865192787167,1584.4304529214849,MB/s,94
outside compartment,SHA-256,64 MB,67108864,40.388948968116274,0.0031306825650746083,40.3889 ± 0.0031,0.007751334573093305,1584.5918657235347,MB/s,94
outside compartment,SHA-256,100 MB,104857600,63.107903872038186,0.003170498842510839,63.1079 ± 0.0032,0.005023933054312111,1584.5875692966558,MB/s,95
outside compartment,AES-256-GCM encrypt,1 MB,1048576,0.4985626285726374,0.0007663355916766528,0.4986 ± 0.0008,0.153708992162256,2005.76606165399,MB/s,88
outside compartment,AES-256-GCM encrypt,16 MB,16777216,7.894609316430911,0.013123546424354862,7.8946 ± 0.0131,0.16623427326594942,2026.6994044530463,MB/s,99
outside compartment,AES-256-GCM encrypt,64 MB,67108864,31.59564403572468,0.03628368988287274,31.5956 ± 0.0363,0.11483763344670983,2025.5956779243443,MB/s,99
outside compartment,AES-256-GCM encrypt,100 MB,104857600,49.35139210370122,0.03411690557498184,49.3514 ± 0.0341,0.0691305840031677,2026.285292821563,MB/s,98
outside compartment,AES-256-GCM decrypt,1 MB,1048576,0.47488311926523846,0.0006507041336329454,0.4749 ± 0.0007,0.1370240607077686,2105.7813163526366,MB/s,96
outside compartment,AES-256-GCM decrypt,16 MB,16777216,7.580022762731178,0.0015075238202016008,7.5800 ± 0.0015,0.019888117323521345,2110.811603187719,MB/s,97
outside compartment,AES-256-GCM decrypt,64 MB,67108864,30.30815184485052,0.003153708036333973,30.3082 ± 0.0032,0.010405477880927936,2111.6431093397027,MB/s,97
outside compartment,AES-256-GCM decrypt,100 MB,104857600,47.34756117156058,0.004684908027783393,47.3476 ± 0.0047,0.009894718781412957,2112.0412018193924,MB/s,99
outside compartment,Ed25519 sign,1 KB,1024,0.10821789503097534,0.00011200922781756228,0.1082 ± 0.0001,0.10350342499778038,9240.615886252166,ops/s,80
outside compartment,Ed25519 sign,4 KB,4096,0.12251330585014529,8.339146663145818e-05,0.1225 ± 0.0001,0.0680672732261916,8162.3787151998895,ops/s,82
outside compartment,Ed25519 sign,16 KB,16384,0.1800633936512227,0.0005417745958928833,0.1801 ± 0.0005,0.3008799206252239,5553.59965022635,ops/s,98
outside compartment,Ed25519 verify,1 KB,1024,0.32111333080173765,0.0004967405468655114,0.3211 ± 0.0005,0.1546932186294719,3114.165324445598,ops/s,97
outside compartment,Ed25519 verify,4 KB,4096,0.3297482120747469,0.0004772961720890479,0.3297 ± 0.0005,0.14474564367944323,3032.616897929749,ops/s,98
outside compartment,Ed25519 verify,16 KB,16384,0.35615379333496094,0.0004928934624256283,0.3562 ± 0.0005,0.1383934333003339,2807.7757943729234,ops/s,100
purecap ABI,SHA-256,1 MB,1048576,4.970107679781706,0.001171346024119232,4.9701 ± 0.0012,0.023567819845920903,201.20288420872228,MB/s,92
purecap ABI,SHA-256,16 MB,16777216,79.63206132908458,0.015148683364628625,79.6321 ± 0.0151,0.019023347018515224,200.92409681420875,MB/s,97
purecap ABI,SHA-256,64 MB,67108864,318.5355968090019,0.04365405975747044,318.5356 ± 0.0437,0.013704609530232814,200.9194596809073,MB/s,99
purecap ABI,SHA-256,100 MB,104857600,497.67972374916076,0.06510774231101642,497.6797 ± 0.0651,0.013082257364342988,200.9324375256279,MB/s,100
